x=?, y=?: R=???, G=???, B=??? (#daeae9)
x=?, y=?: R=???, G=???, B=??? (#daeae9)
x=?, y=?: R=???, G=???, B=??? (#daeae9)
x=?, y=?: R=???, G=???, B=??? (#daeae9)
x=?, y=?: R=???, G=???, B=??? (#daeae9)
x=?, y=?: R=???, G=???, B=??? (#daeae9)
x=?, y=?: R=???, G=???, B=??? (#daeae9)
x=?, y=?: R=???, G=???, B=??? (#daeae9)
x=?, y=?: R=???, G=???, B=??? (#daeae9)
x=?, y=?: R=???, G=???, B=??? (#daeae9)
x=??, y=?: R=???, G=???, B=??? (#daeae9)
x=??, y=?: R=???, G=???, B=??? (#daeae9)
x=??, y=?: R=???, G=???, B=??? (#d8ebe9)
x=??, y=?: R=???, G=???, B=??? (#d8ebe9)
x=??, y=?: R=???, G=???, B=??? (#dbebea)
x=??, y=?: R=???, G=???, B=??? (#daeae9)
x=??, y=?: R=???, G=???, B=??? (#dceceb)
x=??, y=?: R=???, G=???, B=??? (#dbebea)
x=??, y=?: R=???, G=???, B=??? (#dbebea)
x=??, y=?: R=???, G=???, B=??? (#dbebea)
x=??, y=?: R=???, G=???, B=??? (#dbebea)
x=??, y=?: R=???, G=???, B=??? (#daeae9)
x=??, y=?: R=???, G=???, B=??? (#daeae9)
x=??, y=?: R=???, G=???, B=??? (#daeae9)
x=??, y=?: R=???, G=???, B=??? (#d9e9e8)
x=??, y=?: R=???, G=???, B=??? (#d9e9e8)
x=??, y=?: R=???, G=???, B=??? (#d8e8e7)
x=??, y=?: R=???, G=???, B=??? (#d9e9e8)
x=??, y=?: R=???, G=???, B=??? (#d9e9e8)
x=??, y=?: R=???, G=???, B=??? (#d8e8e7)
x=??, y=?: R=???, G=???, B=??? (#d9e9e8)
x=??, y=?: R=???, G=???, B=??? (#d9e9e8)
x=??, y=?: R=???, G=???, B=??? (#d0e4e3)
x=???, y=?: R=???, G=???, B=??? (#cfe5e2)
x=???, y=?: R=???, G=???, B=??? (#cde6e2)
x=???, y=?: R=???, G=???, B=??? (#cce5e2)
x=???, y=?: R=???, G=???, B=??? (#cbe5e2)
x=???, y=?: R=???, G=???, B=??? (#cbe5e2)
x=???, y=?: R=???, G=???, B=??? (#c9e6e2)
x=???, y=?: R=???, G=???, B=??? (#cae9e4)
x=???, y=?: R=???, G=???, B=??? (#c9e9e4)
